id,zone_id,ward_no,name,name_ta,major_localities,boundary_description,source,confidence
11,1,11,Ward 11 - Awarampalayam,வார்டு 11 - ஆவாரம்பாளையம்,Awarampalayam,CCMC North Zone delimited area covering Awarampalayam,CCMC Ward Delimitation Gazette,1.0
12,1,12,Ward 12 - Sanganoor,வார்டு 12 - சங்கனூர்,Sanganoor,CCMC North Zone delimited area covering Sanganoor,CCMC Ward Delimitation Gazette,1.0
13,1,13,Ward 13 - Kannappa Nagar,வார்டு 13 - கண்ணப்ப நகர்,Kannappa Nagar,CCMC North Zone delimited area covering Kannappa Nagar,CCMC Ward Delimitation Gazette,1.0
14,1,14,Ward 14 - Rathinapuri North,வார்டு 14 - ரத்தினபுரி வடக்கு,Rathinapuri North,CCMC North Zone delimited area covering Rathinapuri North,CCMC Ward Delimitation Gazette,1.0
15,1,15,Ward 15 - Rathinapuri South,வார்டு 15 - ரத்தினபுரி தெற்கு,Rathinapuri South,CCMC North Zone delimited area covering Rathinapuri South,CCMC Ward Delimitation Gazette,1.0
16,1,16,Ward 16 - Udayampalayam / Peelamedu North,வார்டு 16 - உடையாம்பாளையம்,Udayampalayam / Peelamedu North,CCMC North Zone delimited area covering Udayampalayam / Peelamedu North,CCMC Ward Delimitation Gazette,1.0
17,1,17,Ward 17 - Thudiyalur North,வார்டு 17 - துடியலூர் வடக்கு,Thudiyalur North,CCMC North Zone delimited area covering Thudiyalur North,CCMC Ward Delimitation Gazette,1.0
18,1,18,Ward 18 - Thudiyalur South,வார்டு 18 - துடியலூர் தெற்கு,Thudiyalur South,CCMC North Zone delimited area covering Thudiyalur South,CCMC Ward Delimitation Gazette,1.0
19,1,19,Ward 19 - Vellakinaru,வார்டு 19 - வெள்ளக்கிணறு,Vellakinaru,CCMC North Zone delimited area covering Vellakinaru,CCMC Ward Delimitation Gazette,1.0
20,1,20,Ward 20 - Kavundampalayam North,வார்டு 20 - கவுண்டம்பாளையம் வடக்கு,Kavundampalayam North,CCMC North Zone delimited area covering Kavundampalayam North,CCMC Ward Delimitation Gazette,1.0
21,2,21,Ward 21 - Kavundampalayam South / Cheran Ma Nagar,வார்டு 21 - சேரன் மா நகர்,Kavundampalayam South / Cheran Ma Nagar,CCMC East Zone delimited area covering Kavundampalayam South / Cheran Ma Nagar,CCMC Ward Delimitation Gazette,1.0
22,2,22,Ward 22 - Peelamedu Pudur,வார்டு 22 - பீளமேடு புதூர்,Peelamedu Pudur,CCMC East Zone delimited area covering Peelamedu Pudur,CCMC Ward Delimitation Gazette,1.0
23,2,23,Ward 23 - Peelamedu East / Avinashi Road,வார்டு 23 - பீளமேடு கிழக்கு,Peelamedu East / Avinashi Road,CCMC East Zone delimited area covering Peelamedu East / Avinashi Road,CCMC Ward Delimitation Gazette,1.0
24,2,24,Ward 24 - Hope College / Nava India,வார்டு 24 - ஹோப் காலேஜ்,Hope College / Nava India,CCMC East Zone delimited area covering Hope College / Nava India,CCMC Ward Delimitation Gazette,1.0
25,2,25,Ward 25 - Sitra / Airport Environs,வார்டு 25 - சித்ரா,Sitra / Airport Environs,CCMC East Zone delimited area covering Sitra / Airport Environs,CCMC Ward Delimitation Gazette,1.0
26,2,26,Ward 26 - Goldwins / Civil Aerodrome,வார்டு 26 - கோல்ட்வின்ஸ்,Goldwins / Civil Aerodrome,CCMC East Zone delimited area covering Goldwins / Civil Aerodrome,CCMC Ward Delimitation Gazette,1.0
27,2,27,Ward 27 - Kalapatti Road / Sharp Nagar,வார்டு 27 - காளப்பட்டி சாலை,Kalapatti Road / Sharp Nagar,CCMC East Zone delimited area covering Kalapatti Road / Sharp Nagar,CCMC Ward Delimitation Gazette,1.0
28,2,28,Ward 28 - Neelikonampalayam North,வார்டு 28 - நீலிகோணாம்பாளையம் வடக்கு,Neelikonampalayam North,CCMC East Zone delimited area covering Neelikonampalayam North,CCMC Ward Delimitation Gazette,1.0
29,2,29,Ward 29 - Neelikonampalayam South,வார்டு 29 - நீலிகோணாம்பாளையம் தெற்கு,Neelikonampalayam South,CCMC East Zone delimited area covering Neelikonampalayam South,CCMC Ward Delimitation Gazette,1.0
30,2,30,Ward 30 - Singanallur North / Kamarajar Road,வார்டு 30 - காமராஜர் சாலை,Singanallur North / Kamarajar Road,CCMC East Zone delimited area covering Singanallur North / Kamarajar Road,CCMC Ward Delimitation Gazette,1.0
31,2,31,Ward 31 - Singanallur Central / Bus Stand,வார்டு 31 - சிங்காநல்லூர் பேருந்து நிலையம்,Singanallur Central / Bus Stand,CCMC East Zone delimited area covering Singanallur Central / Bus Stand,CCMC Ward Delimitation Gazette,1.0
32,2,32,Ward 32 - Singanallur South / Trichy Road,வார்டு 32 - சிங்காநல்லூர் தெற்கு,Singanallur South / Trichy Road,CCMC East Zone delimited area covering Singanallur South / Trichy Road,CCMC Ward Delimitation Gazette,1.0
33,2,33,Ward 33 - Varadarajapuram,வார்டு 33 - வரதராஜபுரம்,Varadarajapuram,CCMC East Zone delimited area covering Varadarajapuram,CCMC Ward Delimitation Gazette,1.0
34,2,34,Ward 34 - Uppilipalayam,வார்டு 34 - உப்பிலிபாளையம்,Uppilipalayam,CCMC East Zone delimited area covering Uppilipalayam,CCMC Ward Delimitation Gazette,1.0
35,2,35,Ward 35 - Masakalipalayam,வார்டு 35 - மசக்காளிபாளையம்,Masakalipalayam,CCMC East Zone delimited area covering Masakalipalayam,CCMC Ward Delimitation Gazette,1.0
36,2,36,Ward 36 - Ondipudur North,வார்டு 36 - ஒண்டிப்புதூர் வடக்கு,Ondipudur North,CCMC East Zone delimited area covering Ondipudur North,CCMC Ward Delimitation Gazette,1.0
37,2,37,Ward 37 - Ondipudur South / Railway Colony,வார்டு 37 - ஒண்டிப்புதூர் தெற்கு,Ondipudur South / Railway Colony,CCMC East Zone delimited area covering Ondipudur South / Railway Colony,CCMC Ward Delimitation Gazette,1.0
38,2,38,Ward 38 - Irugur Pirivu / SIHS Colony,வார்டு 38 - எஸ்.ஐ.எச்.எஸ் காலனி,Irugur Pirivu / SIHS Colony,CCMC East Zone delimited area covering Irugur Pirivu / SIHS Colony,CCMC Ward Delimitation Gazette,1.0
39,2,39,Ward 39 - Kallimadai,வார்டு 39 - கள்ளிமடை,Kallimadai,CCMC East Zone delimited area covering Kallimadai,CCMC Ward Delimitation Gazette,1.0
40,2,40,Ward 40 - Sowripalayam East,வார்டு 40 - சௌரிபாளையம் கிழக்கு,Sowripalayam East,CCMC East Zone delimited area covering Sowripalayam East,CCMC Ward Delimitation Gazette,1.0
41,3,41,Ward 41 - Sowripalayam West / Meena Estate,வார்டு 41 - சௌரிபாளையம் மேற்கு,Sowripalayam West / Meena Estate,CCMC Central Zone delimited area covering Sowripalayam West / Meena Estate,CCMC Ward Delimitation Gazette,1.0
42,3,42,Ward 42 - Ramanathapuram North / Pankaja Mill,வார்டு 42 - பங்கஜ மில்,Ramanathapuram North / Pankaja Mill,CCMC Central Zone delimited area covering Ramanathapuram North / Pankaja Mill,CCMC Ward Delimitation Gazette,1.0
43,3,43,Ward 43 - Ramanathapuram Central / 80 Feet Road,வார்டு 43 - இராமநாதபுரம் மத்தி,Ramanathapuram Central / 80 Feet Road,CCMC Central Zone delimited area covering Ramanathapuram Central / 80 Feet Road,CCMC Ward Delimitation Gazette,1.0
44,3,44,Ward 44 - Siddhapudur North / Cross Cut Road,வார்டு 44 - சித்தபுதூர்,Siddhapudur North / Cross Cut Road,CCMC Central Zone delimited area covering Siddhapudur North / Cross Cut Road,CCMC Ward Delimitation Gazette,1.0
45,3,45,Ward 45 - Gandhipuram Central / Cross Cut,வார்டு 45 - காந்திபுரம் கிராஸ் கட் ரோடு,Gandhipuram Central / Cross Cut,CCMC Central Zone delimited area covering Gandhipuram Central / Cross Cut,CCMC Ward Delimitation Gazette,1.0
46,3,46,Ward 46 - Gandhipuram 1st to 11th Streets,வார்டு 46 - காந்திபுரம் தெருக்கள்,Gandhipuram 1st to 11th Streets,CCMC Central Zone delimited area covering Gandhipuram 1st to 11th Streets,CCMC Ward Delimitation Gazette,1.0
47,3,47,Ward 47 - Ram Nagar North,வார்டு 47 - ராம் நகர் வடக்கு,Ram Nagar North,CCMC Central Zone delimited area covering Ram Nagar North,CCMC Ward Delimitation Gazette,1.0
48,3,48,Ward 48 - Ram Nagar Central / Geetha Hall Road,வார்டு 48 - ராம் நகர் மத்தி,Ram Nagar Central / Geetha Hall Road,CCMC Central Zone delimited area covering Ram Nagar Central / Geetha Hall Road,CCMC Ward Delimitation Gazette,1.0
49,3,49,Ward 49 - Tatabad 1st to 9th Streets,வார்டு 49 - டாடாபாத்,Tatabad 1st to 9th Streets,CCMC Central Zone delimited area covering Tatabad 1st to 9th Streets,CCMC Ward Delimitation Gazette,1.0
50,3,50,Ward 50 - Sivananda Colony,வார்டு 50 - சிவானந்தா காலனி,Sivananda Colony,CCMC Central Zone delimited area covering Sivananda Colony,CCMC Ward Delimitation Gazette,1.0
51,3,51,Ward 51 - Anupparpalayam / Ramakrishna Puram,வார்டு 51 - அனுப்பர்பாளையம்,Anupparpalayam / Ramakrishna Puram,CCMC Central Zone delimited area covering Anupparpalayam / Ramakrishna Puram,CCMC Ward Delimitation Gazette,1.0
52,3,52,Ward 52 - Race Course North / Thomas Park,வார்டு 52 - ரேஸ் கோர்ஸ் வடக்கு,Race Course North / Thomas Park,CCMC Central Zone delimited area covering Race Course North / Thomas Park,CCMC Ward Delimitation Gazette,1.0
53,3,53,Ward 53 - Race Course South / Court Complex,வார்டு 53 - ரேஸ் கோர்ஸ் தெற்கு,Race Course South / Court Complex,CCMC Central Zone delimited area covering Race Course South / Court Complex,CCMC Ward Delimitation Gazette,1.0
54,3,54,Ward 54 - Gopalapuram / Trichy Road,வார்டு 54 - கோபாலபுரம்,Gopalapuram / Trichy Road,CCMC Central Zone delimited area covering Gopalapuram / Trichy Road,CCMC Ward Delimitation Gazette,1.0
55,3,55,Ward 55 - Town Hall / Big Bazaar Street,வார்டு 55 - டவுன் ஹால் பெரிய கடை வீதி,Town Hall / Big Bazaar Street,CCMC Central Zone delimited area covering Town Hall / Big Bazaar Street,CCMC Ward Delimitation Gazette,1.0
56,3,56,Ward 56 - Raja Street / Oppanakara Street,வார்டு 56 - ராஜா வீதி,Raja Street / Oppanakara Street,CCMC Central Zone delimited area covering Raja Street / Oppanakara Street,CCMC Ward Delimitation Gazette,1.0
57,3,57,Ward 57 - Sukrawarpet / Rangai Gounder Street,வார்டு 57 - சுக்கிரவார்பேட்டை,Sukrawarpet / Rangai Gounder Street,CCMC Central Zone delimited area covering Sukrawarpet / Rangai Gounder Street,CCMC Ward Delimitation Gazette,1.0
58,3,58,Ward 58 - Old Post Office Road / Railway Station,வார்டு 58 - ரயில் நிலையம்,Old Post Office Road / Railway Station,CCMC Central Zone delimited area covering Old Post Office Road / Railway Station,CCMC Ward Delimitation Gazette,1.0
59,3,59,Ward 59 - Vincent Road / Fort Coimbatore,வார்டு 59 - கோட்டை கோயம்புத்தூர்,Vincent Road / Fort Coimbatore,CCMC Central Zone delimited area covering Vincent Road / Fort Coimbatore,CCMC Ward Delimitation Gazette,1.0
60,3,60,Ward 60 - Ukkadam North / Big Mosque,வார்டு 60 - உக்கடம் வடக்கு,Ukkadam North / Big Mosque,CCMC Central Zone delimited area covering Ukkadam North / Big Mosque,CCMC Ward Delimitation Gazette,1.0
61,4,61,Ward 61 - Ukkadam South / Bus Stand & Lake,வார்டு 61 - உக்கடம் பேருந்து நிலையம்,Ukkadam South / Bus Stand & Lake,CCMC South Zone delimited area covering Ukkadam South / Bus Stand & Lake,CCMC Ward Delimitation Gazette,1.0
62,4,62,Ward 62 - Karumbukkadai North,வார்டு 62 - கரும்புக்கடை வடக்கு,Karumbukkadai North,CCMC South Zone delimited area covering Karumbukkadai North,CCMC Ward Delimitation Gazette,1.0
63,4,63,Ward 63 - Karumbukkadai South / Saramedu,வார்டு 63 - சாரமேடு,Karumbukkadai South / Saramedu,CCMC South Zone delimited area covering Karumbukkadai South / Saramedu,CCMC Ward Delimitation Gazette,1.0
64,4,64,Ward 64 - Athupalam / Tollgate,வார்டு 64 - ஆத்துப்பாலம்,Athupalam / Tollgate,CCMC South Zone delimited area covering Athupalam / Tollgate,CCMC Ward Delimitation Gazette,1.0
65,4,65,Ward 65 - Podanur North / Chettipalayam Road,வார்டு 65 - போத்தனூர் வடக்கு,Podanur North / Chettipalayam Road,CCMC South Zone delimited area covering Podanur North / Chettipalayam Road,CCMC Ward Delimitation Gazette,1.0
66,4,66,Ward 66 - Podanur Junction / Railway Colony,வார்டு 66 - போத்தனூர் சந்திப்பு,Podanur Junction / Railway Colony,CCMC South Zone delimited area covering Podanur Junction / Railway Colony,CCMC Ward Delimitation Gazette,1.0
67,4,67,Ward 67 - Kurichi North / Sundarapuram,வார்டு 67 - சுந்தராபுரம்,Kurichi North / Sundarapuram,CCMC South Zone delimited area covering Kurichi North / Sundarapuram,CCMC Ward Delimitation Gazette,1.0
68,4,68,Ward 68 - Kurichi Central / SIDCO Industrial Estate,வார்டு 68 - சிட்கோ தொழிற்பேட்டை,Kurichi Central / SIDCO Industrial Estate,CCMC South Zone delimited area covering Kurichi Central / SIDCO Industrial Estate,CCMC Ward Delimitation Gazette,1.0
69,4,69,Ward 69 - Kurichi South / Eachanari Road,வார்டு 69 - ஈச்சனாரி சாலை,Kurichi South / Eachanari Road,CCMC South Zone delimited area covering Kurichi South / Eachanari Road,CCMC Ward Delimitation Gazette,1.0
70,4,70,Ward 70 - Sundarapuram West / Madukkarai Market,வார்டு 70 - சுந்தராபுரம் மேற்கு,Sundarapuram West / Madukkarai Market,CCMC South Zone delimited area covering Sundarapuram West / Madukkarai Market,CCMC Ward Delimitation Gazette,1.0
71,4,71,Ward 71 - Kuniyamuthur North / Kovaipudur Pirivu,வார்டு 71 - குனியமுத்தூர் வடக்கு,Kuniyamuthur North / Kovaipudur Pirivu,CCMC South Zone delimited area covering Kuniyamuthur North / Kovaipudur Pirivu,CCMC Ward Delimitation Gazette,1.0
72,4,72,Ward 72 - Kuniyamuthur Central / Palakkad Road,வார்டு 72 - குனியமுத்தூர் மத்தி,Kuniyamuthur Central / Palakkad Road,CCMC South Zone delimited area covering Kuniyamuthur Central / Palakkad Road,CCMC Ward Delimitation Gazette,1.0
73,4,73,Ward 73 - Kuniyamuthur South / Sri Krishna College,வார்டு 73 - ஸ்ரீ கிருஷ்ணா கல்லூரி,Kuniyamuthur South / Sri Krishna College,CCMC South Zone delimited area covering Kuniyamuthur South / Sri Krishna College,CCMC Ward Delimitation Gazette,1.0
74,4,74,Ward 74 - Kovaipudur North / VLB Arts,வார்டு 74 - கோவைப்புதூர் வடக்கு,Kovaipudur North / VLB Arts,CCMC South Zone delimited area covering Kovaipudur North / VLB Arts,CCMC Ward Delimitation Gazette,1.0
75,4,75,Ward 75 - Kovaipudur Central / Ashram Road,வார்டு 75 - கோவைப்புதூர் மத்தி,Kovaipudur Central / Ashram Road,CCMC South Zone delimited area covering Kovaipudur Central / Ashram Road,CCMC Ward Delimitation Gazette,1.0
76,4,76,Ward 76 - Kovaipudur South,வார்டு 76 - கோவைப்புதூர் தெற்கு,Kovaipudur South,CCMC South Zone delimited area covering Kovaipudur South,CCMC Ward Delimitation Gazette,1.0
77,4,77,Ward 77 - Puliakulam North / Red Fields,வார்டு 77 - புலியகுளம் வடக்கு,Puliakulam North / Red Fields,CCMC South Zone delimited area covering Puliakulam North / Red Fields,CCMC Ward Delimitation Gazette,1.0
78,4,78,Ward 78 - Puliakulam South / Damu Nagar,வார்டு 78 - புலியகுளம் தெற்கு,Puliakulam South / Damu Nagar,CCMC South Zone delimited area covering Puliakulam South / Damu Nagar,CCMC Ward Delimitation Gazette,1.0
79,4,79,Ward 79 - Sungam / Trichy Road Junction,வார்டு 79 - சுங்கம்,Sungam / Trichy Road Junction,CCMC South Zone delimited area covering Sungam / Trichy Road Junction,CCMC Ward Delimitation Gazette,1.0
80,4,80,Ward 80 - Olymbus / Ramanathapuram South,வார்டு 80 - ஒலிம்பஸ்,Olymbus / Ramanathapuram South,CCMC South Zone delimited area covering Olymbus / Ramanathapuram South,CCMC Ward Delimitation Gazette,1.0
81,5,81,Ward 81 - Saibaba Colony / NSR Road,வார்டு 81 - சாயிபாபா காலனி என்.எஸ்.ஆர் சாலை,Saibaba Colony / NSR Road,CCMC West Zone delimited area covering Saibaba Colony / NSR Road,CCMC Ward Delimitation Gazette,1.0
82,5,82,Ward 82 - Saibaba Colony / Alagesan Road,வார்டு 82 - அழகேசன் சாலை,Saibaba Colony / Alagesan Road,CCMC West Zone delimited area covering Saibaba Colony / Alagesan Road,CCMC Ward Delimitation Gazette,1.0
83,5,83,Ward 83 - Kavundampalayam West / Edayarpalayam,வார்டு 83 - இடையர்பாளையம்,Kavundampalayam West / Edayarpalayam,CCMC West Zone delimited area covering Kavundampalayam West / Edayarpalayam,CCMC Ward Delimitation Gazette,1.0
84,5,84,Ward 84 - Edayarpalayam North / TVS Nagar,வார்டு 84 - டி.வி.எஸ் நகர்,Edayarpalayam North / TVS Nagar,CCMC West Zone delimited area covering Edayarpalayam North / TVS Nagar,CCMC Ward Delimitation Gazette,1.0
85,5,85,Ward 85 - Vadavalli North / Marudamalai Road,வார்டு 85 - வடவள்ளி வடக்கு,Vadavalli North / Marudamalai Road,CCMC West Zone delimited area covering Vadavalli North / Marudamalai Road,CCMC Ward Delimitation Gazette,1.0
86,5,86,Ward 86 - Vadavalli Central / Thondamuthur Road,வார்டு 86 - வடவள்ளி மத்தி,Vadavalli Central / Thondamuthur Road,CCMC West Zone delimited area covering Vadavalli Central / Thondamuthur Road,CCMC Ward Delimitation Gazette,1.0
87,5,87,Ward 87 - Vadavalli South / Navavoor Pirivu,வார்டு 87 - நவவூர் பிரிவு,Vadavalli South / Navavoor Pirivu,CCMC West Zone delimited area covering Vadavalli South / Navavoor Pirivu,CCMC Ward Delimitation Gazette,1.0
88,5,88,Ward 88 - Veerakeralam North,வார்டு 88 - வீரகேரளம் வடக்கு,Veerakeralam North,CCMC West Zone delimited area covering Veerakeralam North,CCMC Ward Delimitation Gazette,1.0
89,5,89,Ward 89 - Veerakeralam South,வார்டு 89 - வீரகேரளம் தெற்கு,Veerakeralam South,CCMC West Zone delimited area covering Veerakeralam South,CCMC Ward Delimitation Gazette,1.0
90,5,90,Ward 90 - Telungupalayam North,வார்டு 90 - தெலுங்குபாளையம் வடக்கு,Telungupalayam North,CCMC West Zone delimited area covering Telungupalayam North,CCMC Ward Delimitation Gazette,1.0
91,5,91,Ward 91 - Telungupalayam South / Gandhi Park,வார்டு 91 - காந்தி பார்க்,Telungupalayam South / Gandhi Park,CCMC West Zone delimited area covering Telungupalayam South / Gandhi Park,CCMC Ward Delimitation Gazette,1.0
92,5,92,Ward 92 - RS Puram North / Thiruvenkatasamy Road,வார்டு 92 - ஆர்.எஸ். புரம் வடக்கு,RS Puram North / Thiruvenkatasamy Road,CCMC West Zone delimited area covering RS Puram North / Thiruvenkatasamy Road,CCMC Ward Delimitation Gazette,1.0
93,5,93,Ward 93 - RS Puram Central / DB Road,வார்டு 93 - ஆர்.எஸ். புரம் டி.பி. சாலை,RS Puram Central / DB Road,CCMC West Zone delimited area covering RS Puram Central / DB Road,CCMC Ward Delimitation Gazette,1.0
94,5,94,Ward 94 - RS Puram South / Lawley Road,வார்டு 94 - லாலி ரோடு,RS Puram South / Lawley Road,CCMC West Zone delimited area covering RS Puram South / Lawley Road,CCMC Ward Delimitation Gazette,1.0
95,5,95,Ward 95 - Forest College / TNAU Environs,வார்டு 95 - தமிழ்நாடு வேளாண்மைப் பல்கலைக்கழகம்,Forest College / TNAU Environs,CCMC West Zone delimited area covering Forest College / TNAU Environs,CCMC Ward Delimitation Gazette,1.0
96,5,96,Ward 96 - Selvapuram North / Perur Bypass,வார்டு 96 - செல்வபுரம் வடக்கு,Selvapuram North / Perur Bypass,CCMC West Zone delimited area covering Selvapuram North / Perur Bypass,CCMC Ward Delimitation Gazette,1.0
97,5,97,Ward 97 - Selvapuram South / Shivalaya Theatre,வார்டு 97 - செல்வபுரம் தெற்கு,Selvapuram South / Shivalaya Theatre,CCMC West Zone delimited area covering Selvapuram South / Shivalaya Theatre,CCMC Ward Delimitation Gazette,1.0
98,5,98,Ward 98 - Perur Road / Selvapuram High School,வார்டு 98 - பேரூர் சாலை,Perur Road / Selvapuram High School,CCMC West Zone delimited area covering Perur Road / Selvapuram High School,CCMC Ward Delimitation Gazette,1.0
99,5,99,Ward 99 - Komarapalayam / Selvapuram West,வார்டு 99 - குமாரபாளையம்,Komarapalayam / Selvapuram West,CCMC West Zone delimited area covering Komarapalayam / Selvapuram West,CCMC Ward Delimitation Gazette,1.0
100,5,100,Ward 100 - Chokkampudur / Gandhipark West,வார்டு 100 - சொக்கம்புதூர்,Chokkampudur / Gandhipark West,CCMC West Zone delimited area covering Chokkampudur / Gandhipark West,CCMC Ward Delimitation Gazette,1.0
