id,entity_type,entity_id,alias,normalized_value,language,alias_type,confidence
37,area,1,Gandhipuram,gandhipuram,Tanglish,phonetic,0.95
38,area,1,Gandhi puram,gandhipuram,Tanglish,phonetic,0.95
39,area,1,காந்திபுரம்,காந்திபுரம்,Tamil,phonetic,0.95
40,area,1,kaandhipuram,kaandhipuram,Tanglish,phonetic,0.95
41,area,1,ganthipuram,ganthipuram,Tanglish,phonetic,0.95
42,area,1,gandhipuram area,gandhipuramarea,Tanglish,phonetic,0.95
43,area,2,RS Puram,rspuram,Tanglish,phonetic,0.95
44,area,2,R.S. Puram,r.s.puram,Tanglish,phonetic,0.95
45,area,2,Rathinasinghpuram,rathinasinghpuram,Tanglish,phonetic,0.95
46,area,2,ஆர்.எஸ். புரம்,ஆர்.எஸ்.புரம்,Tamil,phonetic,0.95
47,area,2,rspuram,rspuram,Tanglish,phonetic,0.95
48,area,3,Peelamedu,peelamedu,Tanglish,phonetic,0.95
49,area,3,Pelamedu,pelamedu,Tanglish,phonetic,0.95
50,area,3,பீளமேடு,பீளமேடு,Tamil,phonetic,0.95
51,area,3,peelamedu area,peelameduarea,Tanglish,phonetic,0.95
52,area,3,pilamedu,pilamedu,Tanglish,phonetic,0.95
53,area,4,Saibaba Colony,saibabacolony,Tanglish,phonetic,0.95
54,area,4,Sai Baba Colony,saibabacolony,Tanglish,phonetic,0.95
55,area,4,சாயிபாபா காலனி,சாயிபாபாகாலனி,Tamil,phonetic,0.95
56,area,4,saibaba colony area,saibabacolonyarea,Tanglish,phonetic,0.95
57,area,5,Saravanampatti,saravanampatti,Tanglish,phonetic,0.95
58,area,5,Saravanampatty,saravanampatty,Tanglish,phonetic,0.95
59,area,5,சரவணம்பட்டி,சரவணம்பட்டி,Tamil,phonetic,0.95
60,area,5,saravanampatti area,saravanampattiarea,Tanglish,phonetic,0.95
61,area,6,Ganapathy,ganapathy,Tanglish,phonetic,0.95
62,area,6,Ganapathi,ganapathi,Tanglish,phonetic,0.95
63,area,6,கணபதி,கணபதி,Tamil,phonetic,0.95
64,area,6,ganapathy area,ganapathyarea,Tanglish,phonetic,0.95
65,area,7,Singanallur,singanallur,Tanglish,phonetic,0.95
66,area,7,Singanalloor,singanalloor,Tanglish,phonetic,0.95
67,area,7,சிங்காநல்லூர்,சிங்காநல்லூர்,Tamil,phonetic,0.95
68,area,7,singanallur bus stand area,singanallurbusstandarea,Tanglish,phonetic,0.95
69,area,8,Ramanathapuram,ramanathapuram,Tanglish,phonetic,0.95
70,area,8,Ramnagar Coimbatore,ramnagarcoimbatore,Tanglish,phonetic,0.95
71,area,8,இராமநாதபுரம்,இராமநாதபுரம்,Tamil,phonetic,0.95
72,area,9,Ukkadam,ukkadam,Tanglish,phonetic,0.95
73,area,9,Ukkadam bus stand,ukkadambusstand,Tanglish,phonetic,0.95
74,area,9,உக்கடம்,உக்கடம்,Tamil,phonetic,0.95
75,area,10,Town Hall,townhall,Tanglish,phonetic,0.95
76,area,10,Townhall,townhall,Tanglish,phonetic,0.95
77,area,10,டவுன் ஹால்,டவுன்ஹால்,Tamil,phonetic,0.95
78,area,11,Race Course,racecourse,Tanglish,phonetic,0.95
79,area,11,Racecourse,racecourse,Tanglish,phonetic,0.95
80,area,11,ரேஸ் கோர்ஸ்,ரேஸ்கோர்ஸ்,Tamil,phonetic,0.95
81,area,12,Tatabad,tatabad,Tanglish,phonetic,0.95
82,area,12,Thathabad,thathabad,Tanglish,phonetic,0.95
83,area,12,டாடாபாத்,டாடாபாத்,Tamil,phonetic,0.95
84,area,13,Ram Nagar,ramnagar,Tanglish,phonetic,0.95
85,area,13,Ramnagar,ramnagar,Tanglish,phonetic,0.95
86,area,13,ராம் நகர்,ராம்நகர்,Tamil,phonetic,0.95
87,area,14,Vadavalli,vadavalli,Tanglish,phonetic,0.95
88,area,14,Vadavali,vadavali,Tanglish,phonetic,0.95
89,area,14,வடவள்ளி,வடவள்ளி,Tamil,phonetic,0.95
90,area,15,Thondamuthur,thondamuthur,Tanglish,phonetic,0.95
91,area,15,Thondamuthoor,thondamuthoor,Tanglish,phonetic,0.95
92,area,15,தொண்டாமுத்தூர்,தொண்டாமுத்தூர்,Tamil,phonetic,0.95
93,area,16,Kuniyamuthur,kuniyamuthur,Tanglish,phonetic,0.95
94,area,16,Kuniyamuthoor,kuniyamuthoor,Tanglish,phonetic,0.95
95,area,16,குனியமுத்தூர்,குனியமுத்தூர்,Tamil,phonetic,0.95
96,area,17,Kovaipudur,kovaipudur,Tanglish,phonetic,0.95
97,area,17,Kovai Pudur,kovaipudur,Tanglish,phonetic,0.95
98,area,17,கோவைப்புதூர்,கோவைப்புதூர்,Tamil,phonetic,0.95
99,area,18,Kurichi,kurichi,Tanglish,phonetic,0.95
100,area,18,குறிச்சி,குறிச்சி,Tamil,phonetic,0.95
101,area,19,Sundarapuram,sundarapuram,Tanglish,phonetic,0.95
102,area,19,Sundarapuram area,sundarapuramarea,Tanglish,phonetic,0.95
103,area,19,சுந்தராபுரம்,சுந்தராபுரம்,Tamil,phonetic,0.95
104,area,20,Ondipudur,ondipudur,Tanglish,phonetic,0.95
105,area,20,Ondipudoor,ondipudoor,Tanglish,phonetic,0.95
106,area,20,ஒண்டிப்புதூர்,ஒண்டிப்புதூர்,Tamil,phonetic,0.95
107,area,21,Eachanari,eachanari,Tanglish,phonetic,0.95
108,area,21,Echanari,echanari,Tanglish,phonetic,0.95
109,area,21,ஈச்சனாரி,ஈச்சனாரி,Tamil,phonetic,0.95
110,area,22,Irugur,irugur,Tanglish,phonetic,0.95
111,area,22,Irugoor,irugoor,Tanglish,phonetic,0.95
112,area,22,இருவூர்,இருவூர்,Tamil,phonetic,0.95
113,area,23,Kalapatti,kalapatti,Tanglish,phonetic,0.95
114,area,23,Kaalapatti,kaalapatti,Tanglish,phonetic,0.95
115,area,23,காளப்பட்டி,காளப்பட்டி,Tamil,phonetic,0.95
116,area,24,Chinnavedampatti,chinnavedampatti,Tanglish,phonetic,0.95
117,area,24,Chinnavedampatty,chinnavedampatty,Tanglish,phonetic,0.95
118,area,24,சின்னவேடம்பட்டி,சின்னவேடம்பட்டி,Tamil,phonetic,0.95
119,area,25,Vilankurichi,vilankurichi,Tanglish,phonetic,0.95
120,area,25,Vilankurichi Road,vilankurichiroad,Tanglish,phonetic,0.95
121,area,25,விளாங்குறிச்சி,விளாங்குறிச்சி,Tamil,phonetic,0.95
122,area,26,Thudiyalur,thudiyalur,Tanglish,phonetic,0.95
123,area,26,Thudiyaloor,thudiyaloor,Tanglish,phonetic,0.95
124,area,26,துடியலூர்,துடியலூர்,Tamil,phonetic,0.95
125,area,27,Kavundampalayam,kavundampalayam,Tanglish,phonetic,0.95
126,area,27,Goundampalayam,goundampalayam,Tanglish,phonetic,0.95
127,area,27,கவுண்டம்பாளையம்,கவுண்டம்பாளையம்,Tamil,phonetic,0.95
128,area,28,Periyanaickenpalayam,periyanaickenpalayam,Tanglish,phonetic,0.95
129,area,28,பெரியநாயக்கன்பாளையம்,பெரியநாயக்கன்பாளையம்,Tamil,phonetic,0.95
130,area,29,Sulur,sulur,Tanglish,phonetic,0.95
131,area,29,Suloor,suloor,Tanglish,phonetic,0.95
132,area,29,சூலூர்,சூலூர்,Tamil,phonetic,0.95
133,area,30,Mettupalayam,mettupalayam,Tanglish,phonetic,0.95
134,area,30,Mtp,mtp,Tanglish,phonetic,0.95
135,area,30,மேட்டுப்பாளையம்,மேட்டுப்பாளையம்,Tamil,phonetic,0.95
136,area,31,Pollachi,pollachi,Tanglish,phonetic,0.95
137,area,31,Pollachi town,pollachitown,Tanglish,phonetic,0.95
138,area,31,பொள்ளாச்சி,பொள்ளாச்சி,Tamil,phonetic,0.95
139,area,32,Madukkarai,madukkarai,Tanglish,phonetic,0.95
140,area,32,மதுக்கரை,மதுக்கரை,Tamil,phonetic,0.95
141,area,33,Perur,perur,Tanglish,phonetic,0.95
142,area,33,பேரூர்,பேரூர்,Tamil,phonetic,0.95
143,area,34,Annur,annur,Tanglish,phonetic,0.95
144,area,34,Annoor,annoor,Tanglish,phonetic,0.95
145,area,34,அன்னூர்,அன்னூர்,Tamil,phonetic,0.95
146,area,35,Kinathukadavu,kinathukadavu,Tanglish,phonetic,0.95
147,area,35,கிணத்துக்கடவு,கிணத்துக்கடவு,Tamil,phonetic,0.95
148,area,36,Valparai,valparai,Tanglish,phonetic,0.95
149,area,36,வால்பாறை,வால்பாறை,Tamil,phonetic,0.95
150,area,37,Anaimalai,anaimalai,Tanglish,phonetic,0.95
151,area,37,ஆனைமலை,ஆனைமலை,Tamil,phonetic,0.95
152,area,38,Selvapuram,selvapuram,Tanglish,phonetic,0.95
153,area,38,செல்வபுரம்,செல்வபுரம்,Tamil,phonetic,0.95
154,area,39,Sowripalayam,sowripalayam,Tanglish,phonetic,0.95
155,area,39,சௌரிபாளையம்,சௌரிபாளையம்,Tamil,phonetic,0.95
156,area,40,Hope College,hopecollege,Tanglish,phonetic,0.95
157,area,40,Hopes,hopes,Tanglish,phonetic,0.95
158,area,40,ஹோப் காலேஜ்,ஹோப்காலேஜ்,Tamil,phonetic,0.95
159,area,41,SITRA,sitra,Tanglish,phonetic,0.95
160,area,41,Sitra Airport,sitraairport,Tanglish,phonetic,0.95
161,area,41,சித்ரா,சித்ரா,Tamil,phonetic,0.95
162,area,42,Karamadai,karamadai,Tanglish,phonetic,0.95
163,area,42,காரமடை,காரமடை,Tamil,phonetic,0.95
164,area,43,Sirumugai,sirumugai,Tanglish,phonetic,0.95
165,area,43,சிறுமுகை,சிறுமுகை,Tamil,phonetic,0.95
166,area,44,Neelambur,neelambur,Tanglish,phonetic,0.95
167,area,44,நீலம்பூர்,நீலம்பூர்,Tamil,phonetic,0.95
168,area,45,Podanur,podanur,Tanglish,phonetic,0.95
169,area,45,Pothanur,pothanur,Tanglish,phonetic,0.95
170,area,45,போத்தனூர்,போத்தனூர்,Tamil,phonetic,0.95
171,street,1,Avinashi Road,avinashiroad,Tanglish,phonetic,0.9
172,street,1,Avinashi Salai,avinashisalai,Tanglish,phonetic,0.9
173,street,1,அவினாசி சாலை,அவினாசிசாலை,Tamil,phonetic,0.9
174,street,1,avinasi road,avinasiroad,Tanglish,phonetic,0.9
175,street,1,avinashi main road,avinashimainroad,Tanglish,phonetic,0.9
176,street,2,Trichy Road,trichyroad,Tanglish,phonetic,0.9
177,street,2,Trichy Salai,trichysalai,Tanglish,phonetic,0.9
178,street,2,திருச்சி சாலை,திருச்சிசாலை,Tamil,phonetic,0.9
179,street,2,trichy road coimbatore,trichyroadcoimbatore,Tanglish,phonetic,0.9
180,street,3,Mettupalayam Road,mettupalayamroad,Tanglish,phonetic,0.9
181,street,3,MTP Road,mtproad,Tanglish,phonetic,0.9
182,street,3,மேட்டுப்பாளையம் சாலை,மேட்டுப்பாளையம்சாலை,Tamil,phonetic,0.9
183,street,3,mtp road,mtproad,Tanglish,phonetic,0.9
184,street,4,Sathy Road,sathyroad,Tanglish,phonetic,0.9
185,street,4,Sathyamangalam Road,sathyamangalamroad,Tanglish,phonetic,0.9
186,street,4,சத்தி சாலை,சத்திசாலை,Tamil,phonetic,0.9
187,street,4,sathy road,sathyroad,Tanglish,phonetic,0.9
188,street,5,Pollachi Road,pollachiroad,Tanglish,phonetic,0.9
189,street,5,Pollachi Main Road,pollachimainroad,Tanglish,phonetic,0.9
190,street,5,பொள்ளாச்சி சாலை,பொள்ளாச்சிசாலை,Tamil,phonetic,0.9
191,street,5,pollachi road,pollachiroad,Tanglish,phonetic,0.9
192,street,6,Palakkad Road,palakkadroad,Tanglish,phonetic,0.9
193,street,6,Palghat Road,palghatroad,Tanglish,phonetic,0.9
194,street,6,பாலக்காடு சாலை,பாலக்காடுசாலை,Tamil,phonetic,0.9
195,street,6,palakkad main road,palakkadmainroad,Tanglish,phonetic,0.9
196,street,7,Thadagam Road,thadagamroad,Tanglish,phonetic,0.9
197,street,7,Thadagam Salai,thadagamsalai,Tanglish,phonetic,0.9
198,street,7,தடாகம் சாலை,தடாகம்சாலை,Tamil,phonetic,0.9
199,street,8,Marudamalai Road,marudamalairoad,Tanglish,phonetic,0.9
200,street,8,Marudamalai Salai,marudamalaisalai,Tanglish,phonetic,0.9
201,street,8,மருதமலை சாலை,மருதமலைசாலை,Tamil,phonetic,0.9
202,street,8,marudamalai main road,marudamalaimainroad,Tanglish,phonetic,0.9
203,street,9,Cross Cut Road,crosscutroad,Tanglish,phonetic,0.9
204,street,9,Crosscut Road,crosscutroad,Tanglish,phonetic,0.9
205,street,9,கிராஸ் கட் ரோடு,கிராஸ்கட்ரோடு,Tamil,phonetic,0.9
206,street,9,cross cut salai,crosscutsalai,Tanglish,phonetic,0.9
207,street,9,cross cut road gandhipuram,crosscutroadgandhipuram,Tanglish,phonetic,0.9
208,street,10,100 Feet Road,100feetroad,Tanglish,phonetic,0.9
209,street,10,Hundred Feet Road,hundredfeetroad,Tanglish,phonetic,0.9
210,street,10,100 அடி ரோடு,100அடிரோடு,Tamil,phonetic,0.9
211,street,10,100 feet road gandhipuram,100feetroadgandhipuram,Tanglish,phonetic,0.9
212,street,11,DB Road,dbroad,Tanglish,phonetic,0.9
213,street,11,D.B. Road,d.b.road,Tanglish,phonetic,0.9
214,street,11,Diwan Bahadur Road,diwanbahadurroad,Tanglish,phonetic,0.9
215,street,11,டி.பி. ரோடு,டி.பி.ரோடு,Tamil,phonetic,0.9
216,street,11,db road rs puram,dbroadrspuram,Tanglish,phonetic,0.9
217,street,12,TV Swamy Road,tvswamyroad,Tanglish,phonetic,0.9
218,street,12,T.V. Swamy Road,t.v.swamyroad,Tanglish,phonetic,0.9
219,street,12,Thiruvenkatasamy Road,thiruvenkatasamyroad,Tanglish,phonetic,0.9
220,street,12,டி.வி. சாமி ரோடு,டி.வி.சாமிரோடு,Tamil,phonetic,0.9
221,street,13,NSR Road,nsrroad,Tanglish,phonetic,0.9
222,street,13,N.S.R. Road,n.s.r.road,Tanglish,phonetic,0.9
223,street,13,Narayanasamy Road,narayanasamyroad,Tanglish,phonetic,0.9
224,street,13,என்.எஸ்.ஆர் ரோடு,என்.எஸ்.ஆர்ரோடு,Tamil,phonetic,0.9
225,street,14,Bharathiar Road,bharathiarroad,Tanglish,phonetic,0.9
226,street,14,Bharathiyar Road,bharathiyarroad,Tanglish,phonetic,0.9
227,street,14,பாரதியார் ரோடு,பாரதியார்ரோடு,Tamil,phonetic,0.9
228,street,15,Race Course Road,racecourseroad,Tanglish,phonetic,0.9
229,street,15,Racecourse Promenade,racecoursepromenade,Tanglish,phonetic,0.9
230,street,15,ரேஸ் கோர்ஸ் ரோடு,ரேஸ்கோர்ஸ்ரோடு,Tamil,phonetic,0.9
231,street,16,Oppanakara Street,oppanakarastreet,Tanglish,phonetic,0.9
232,street,16,Oppanakkara Street,oppanakkarastreet,Tanglish,phonetic,0.9
233,street,16,ஒப்பணக்கார வீதி,ஒப்பணக்காரவீதி,Tamil,phonetic,0.9
234,street,16,oppanakara theru,oppanakaratheru,Tanglish,phonetic,0.9
235,street,17,Big Bazaar Street,bigbazaarstreet,Tanglish,phonetic,0.9
236,street,17,Periya Kadai Veedhi,periyakadaiveedhi,Tanglish,phonetic,0.9
237,street,17,பெரிய கடை வீதி,பெரியகடைவீதி,Tamil,phonetic,0.9
238,street,18,Raja Street,rajastreet,Tanglish,phonetic,0.9
239,street,18,Raja Veedhi,rajaveedhi,Tanglish,phonetic,0.9
240,street,18,ராஜா வீதி,ராஜாவீதி,Tamil,phonetic,0.9
241,street,19,Sukrawarpet Street,sukrawarpetstreet,Tanglish,phonetic,0.9
242,street,19,Sukrawarpettai,sukrawarpettai,Tanglish,phonetic,0.9
243,street,19,சுக்கிரவார்பேட்டை,சுக்கிரவார்பேட்டை,Tamil,phonetic,0.9
244,street,20,Kamarajar Road,kamarajarroad,Tanglish,phonetic,0.9
245,street,20,Kamaraj Road Singanallur,kamarajroadsinganallur,Tanglish,phonetic,0.9
246,street,20,காமராஜர் ரோடு,காமராஜர்ரோடு,Tamil,phonetic,0.9
247,street,21,1st Street,1ststreet,Tanglish,phonetic,0.9
248,street,21,1th street,1thstreet,Tanglish,phonetic,0.9
249,street,21,Gandhipuram 1th street,gandhipuram1thstreet,Tanglish,phonetic,0.9
250,street,21,1th street gandhipuram,1thstreetgandhipuram,Tanglish,phonetic,0.9
251,street,21,1வது தெரு,1வதுதெரு,Tamil,phonetic,0.9
252,street,21,1th street,1thstreet,Tanglish,phonetic,0.9
253,street,21,1வது தெரு காந்திபுரம்,1வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
254,street,22,2nd Street,2ndstreet,Tanglish,phonetic,0.9
255,street,22,2th street,2thstreet,Tanglish,phonetic,0.9
256,street,22,Gandhipuram 2th street,gandhipuram2thstreet,Tanglish,phonetic,0.9
257,street,22,2th street gandhipuram,2thstreetgandhipuram,Tanglish,phonetic,0.9
258,street,22,2வது தெரு,2வதுதெரு,Tamil,phonetic,0.9
259,street,22,2th street,2thstreet,Tanglish,phonetic,0.9
260,street,22,2வது தெரு காந்திபுரம்,2வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
261,street,23,3rd Street,3rdstreet,Tanglish,phonetic,0.9
262,street,23,3th street,3thstreet,Tanglish,phonetic,0.9
263,street,23,Gandhipuram 3th street,gandhipuram3thstreet,Tanglish,phonetic,0.9
264,street,23,3th street gandhipuram,3thstreetgandhipuram,Tanglish,phonetic,0.9
265,street,23,3வது தெரு,3வதுதெரு,Tamil,phonetic,0.9
266,street,23,3th street,3thstreet,Tanglish,phonetic,0.9
267,street,23,3வது தெரு காந்திபுரம்,3வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
268,street,24,4th Street,4thstreet,Tanglish,phonetic,0.9
269,street,24,4th street,4thstreet,Tanglish,phonetic,0.9
270,street,24,Gandhipuram 4th street,gandhipuram4thstreet,Tanglish,phonetic,0.9
271,street,24,4th street gandhipuram,4thstreetgandhipuram,Tanglish,phonetic,0.9
272,street,24,4வது தெரு,4வதுதெரு,Tamil,phonetic,0.9
273,street,24,4th street,4thstreet,Tanglish,phonetic,0.9
274,street,24,4வது தெரு காந்திபுரம்,4வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
275,street,25,5th Street,5thstreet,Tanglish,phonetic,0.9
276,street,25,5th street,5thstreet,Tanglish,phonetic,0.9
277,street,25,Gandhipuram 5th street,gandhipuram5thstreet,Tanglish,phonetic,0.9
278,street,25,5th street gandhipuram,5thstreetgandhipuram,Tanglish,phonetic,0.9
279,street,25,5வது தெரு,5வதுதெரு,Tamil,phonetic,0.9
280,street,25,5th street,5thstreet,Tanglish,phonetic,0.9
281,street,25,5வது தெரு காந்திபுரம்,5வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
282,street,26,6th Street,6thstreet,Tanglish,phonetic,0.9
283,street,26,6th street,6thstreet,Tanglish,phonetic,0.9
284,street,26,Gandhipuram 6th street,gandhipuram6thstreet,Tanglish,phonetic,0.9
285,street,26,6th street gandhipuram,6thstreetgandhipuram,Tanglish,phonetic,0.9
286,street,26,6வது தெரு,6வதுதெரு,Tamil,phonetic,0.9
287,street,26,6th street,6thstreet,Tanglish,phonetic,0.9
288,street,26,6வது தெரு காந்திபுரம்,6வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
289,street,27,7th Street,7thstreet,Tanglish,phonetic,0.9
290,street,27,7th street,7thstreet,Tanglish,phonetic,0.9
291,street,27,Gandhipuram 7th street,gandhipuram7thstreet,Tanglish,phonetic,0.9
292,street,27,7th street gandhipuram,7thstreetgandhipuram,Tanglish,phonetic,0.9
293,street,27,7வது தெரு,7வதுதெரு,Tamil,phonetic,0.9
294,street,27,7th street,7thstreet,Tanglish,phonetic,0.9
295,street,27,7வது தெரு காந்திபுரம்,7வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
296,street,28,8th Street,8thstreet,Tanglish,phonetic,0.9
297,street,28,8th street,8thstreet,Tanglish,phonetic,0.9
298,street,28,Gandhipuram 8th street,gandhipuram8thstreet,Tanglish,phonetic,0.9
299,street,28,8th street gandhipuram,8thstreetgandhipuram,Tanglish,phonetic,0.9
300,street,28,8வது தெரு,8வதுதெரு,Tamil,phonetic,0.9
301,street,28,8th street,8thstreet,Tanglish,phonetic,0.9
302,street,28,8வது தெரு காந்திபுரம்,8வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
303,street,29,9th Street,9thstreet,Tanglish,phonetic,0.9
304,street,29,9th street,9thstreet,Tanglish,phonetic,0.9
305,street,29,Gandhipuram 9th street,gandhipuram9thstreet,Tanglish,phonetic,0.9
306,street,29,9th street gandhipuram,9thstreetgandhipuram,Tanglish,phonetic,0.9
307,street,29,9வது தெரு,9வதுதெரு,Tamil,phonetic,0.9
308,street,29,9th street,9thstreet,Tanglish,phonetic,0.9
309,street,29,9வது தெரு காந்திபுரம்,9வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
310,street,30,10th Street,10thstreet,Tanglish,phonetic,0.9
311,street,30,10th street,10thstreet,Tanglish,phonetic,0.9
312,street,30,Gandhipuram 10th street,gandhipuram10thstreet,Tanglish,phonetic,0.9
313,street,30,10th street gandhipuram,10thstreetgandhipuram,Tanglish,phonetic,0.9
314,street,30,10வது தெரு,10வதுதெரு,Tamil,phonetic,0.9
315,street,30,10th street,10thstreet,Tanglish,phonetic,0.9
316,street,30,10வது தெரு காந்திபுரம்,10வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
317,street,31,11th Street,11thstreet,Tanglish,phonetic,0.9
318,street,31,11th street,11thstreet,Tanglish,phonetic,0.9
319,street,31,Gandhipuram 11th street,gandhipuram11thstreet,Tanglish,phonetic,0.9
320,street,31,11th street gandhipuram,11thstreetgandhipuram,Tanglish,phonetic,0.9
321,street,31,11வது தெரு,11வதுதெரு,Tamil,phonetic,0.9
322,street,31,11th street,11thstreet,Tanglish,phonetic,0.9
323,street,31,11வது தெரு காந்திபுரம்,11வதுதெருகாந்திபுரம்,Tamil,phonetic,0.9
324,street,32,Ram Nagar 1th street,ramnagar1thstreet,Tanglish,phonetic,0.9
325,street,32,1th street ram nagar,1thstreetramnagar,Tanglish,phonetic,0.9
326,street,32,ராம் நகர் 1வது தெரு,ராம்நகர்1வதுதெரு,Tamil,phonetic,0.9
327,street,33,Ram Nagar 2th street,ramnagar2thstreet,Tanglish,phonetic,0.9
328,street,33,2th street ram nagar,2thstreetramnagar,Tanglish,phonetic,0.9
329,street,33,ராம் நகர் 2வது தெரு,ராம்நகர்2வதுதெரு,Tamil,phonetic,0.9
330,street,34,Ram Nagar 3th street,ramnagar3thstreet,Tanglish,phonetic,0.9
331,street,34,3th street ram nagar,3thstreetramnagar,Tanglish,phonetic,0.9
332,street,34,ராம் நகர் 3வது தெரு,ராம்நகர்3வதுதெரு,Tamil,phonetic,0.9
333,street,35,Ram Nagar 4th street,ramnagar4thstreet,Tanglish,phonetic,0.9
334,street,35,4th street ram nagar,4thstreetramnagar,Tanglish,phonetic,0.9
335,street,35,ராம் நகர் 4வது தெரு,ராம்நகர்4வதுதெரு,Tamil,phonetic,0.9
336,street,36,Ram Nagar 5th street,ramnagar5thstreet,Tanglish,phonetic,0.9
337,street,36,5th street ram nagar,5thstreetramnagar,Tanglish,phonetic,0.9
338,street,36,ராம் நகர் 5வது தெரு,ராம்நகர்5வதுதெரு,Tamil,phonetic,0.9
339,street,37,Ram Nagar 6th street,ramnagar6thstreet,Tanglish,phonetic,0.9
340,street,37,6th street ram nagar,6thstreetramnagar,Tanglish,phonetic,0.9
341,street,37,ராம் நகர் 6வது தெரு,ராம்நகர்6வதுதெரு,Tamil,phonetic,0.9
342,street,38,Ram Nagar 7th street,ramnagar7thstreet,Tanglish,phonetic,0.9
343,street,38,7th street ram nagar,7thstreetramnagar,Tanglish,phonetic,0.9
344,street,38,ராம் நகர் 7வது தெரு,ராம்நகர்7வதுதெரு,Tamil,phonetic,0.9
345,street,39,Tatabad 1th street,tatabad1thstreet,Tanglish,phonetic,0.9
346,street,39,டாடாபாத் 1வது தெரு,டாடாபாத்1வதுதெரு,Tamil,phonetic,0.9
347,street,40,Tatabad 2th street,tatabad2thstreet,Tanglish,phonetic,0.9
348,street,40,டாடாபாத் 2வது தெரு,டாடாபாத்2வதுதெரு,Tamil,phonetic,0.9
349,street,41,Tatabad 3th street,tatabad3thstreet,Tanglish,phonetic,0.9
350,street,41,டாடாபாத் 3வது தெரு,டாடாபாத்3வதுதெரு,Tamil,phonetic,0.9
351,street,42,Tatabad 4th street,tatabad4thstreet,Tanglish,phonetic,0.9
352,street,42,டாடாபாத் 4வது தெரு,டாடாபாத்4வதுதெரு,Tamil,phonetic,0.9
353,street,43,Tatabad 5th street,tatabad5thstreet,Tanglish,phonetic,0.9
354,street,43,டாடாபாத் 5வது தெரு,டாடாபாத்5வதுதெரு,Tamil,phonetic,0.9
355,street,44,Tatabad 6th street,tatabad6thstreet,Tanglish,phonetic,0.9
356,street,44,டாடாபாத் 6வது தெரு,டாடாபாத்6வதுதெரு,Tamil,phonetic,0.9
357,street,45,Tatabad 7th street,tatabad7thstreet,Tanglish,phonetic,0.9
